Date,Symbol,Quantity,Price,Trade Type
2023-01-17 05:00:00+00:00,ADP,14.0,243.79,buy
2023-01-17 05:00:00+00:00,AMZN,34.0,98.68,buy
2023-01-17 05:00:00+00:00,HUBB,14.0,236.1,buy
2023-01-17 05:00:00+00:00,AOS,55.0,61.6,buy
2023-01-17 05:00:00+00:00,PGR,25.0,134.0,buy
2023-01-17 05:00:00+00:00,MMM,26.0,129.76,buy
2023-01-17 05:00:00+00:00,ALL,24.0,138.85,buy
2023-01-17 05:00:00+00:00,LULU,-10.0,314.0,sell
2023-01-17 05:00:00+00:00,KIM,-162.0,21.24,sell
2023-01-17 05:00:00+00:00,FIS,-49.0,69.09,sell
2023-01-17 05:00:00+00:00,PANW,-25.0,137.21,sell
2023-01-17 05:00:00+00:00,EPAM,-9.0,344.87,sell
2023-01-17 05:00:00+00:00,CRWD,-34.0,100.4,sell
2023-01-17 05:00:00+00:00,TSLA,-27.0,125.695,sell
2023-01-17 05:00:00+00:00,NVDA,-20.0,168.99,sell
2023-01-17 05:00:00+00:00,KMX,-53.0,64.21,sell
2023-01-17 05:00:00+00:00,SMCI,-42.0,80.55,sell
2023-01-17 05:00:00+00:00,EMR,-36.0,91.24,close
2023-01-17 05:00:00+00:00,GS,-9.0,349.92,close
2023-01-17 05:00:00+00:00,TRV,-17.0,185.0,close
2023-01-17 05:00:00+00:00,ADP,-14.0,236.78,close
2023-01-17 05:00:00+00:00,AMZN,-34.0,96.05,close
2023-01-17 05:00:00+00:00,HUBB,-14.0,229.98,close
2023-01-17 05:00:00+00:00,AOS,-55.0,60.03,close
2023-01-17 05:00:00+00:00,PGR,-25.0,130.69,close
2023-01-17 05:00:00+00:00,MMM,-26.0,126.6,close
2023-01-17 05:00:00+00:00,ALL,-24.0,135.52,close
2023-01-17 05:00:00+00:00,LULU,10.0,323.82,close
2023-01-17 05:00:00+00:00,KIM,162.0,21.95,close
2023-01-17 05:00:00+00:00,FIS,49.0,71.41,close
2023-01-17 05:00:00+00:00,PANW,25.0,142.0,close
2023-01-17 05:00:00+00:00,EPAM,9.0,357.63,close
2023-01-17 05:00:00+00:00,CRWD,34.0,104.43,close
2023-01-17 05:00:00+00:00,TSLA,27.0,131.49,close
2023-01-17 05:00:00+00:00,NVDA,20.0,177.02,close
2023-01-17 05:00:00+00:00,KMX,53.0,67.44,close
2023-01-17 05:00:00+00:00,SMCI,42.0,84.83,close
2023-01-18 05:00:00+00:00,SMCI,38.0,85.99,buy
2023-01-18 05:00:00+00:00,UAL,62.0,53.1,buy
2023-01-18 05:00:00+00:00,KMX,49.0,67.46,buy
2023-01-18 05:00:00+00:00,CCL,299.0,11.09,buy
2023-01-18 05:00:00+00:00,KHC,78.0,42.11,buy
2023-01-18 05:00:00+00:00,TSLA,24.0,136.555,buy
2023-01-18 05:00:00+00:00,HAL,77.0,43.0,buy
2023-01-18 05:00:00+00:00,CRWD,31.0,106.665,buy
2023-01-18 05:00:00+00:00,TYL,10.0,321.25,buy
2023-01-18 05:00:00+00:00,WBD,251.0,13.23,buy
2023-01-18 05:00:00+00:00,ZBRA,-11.0,295.8,sell
2023-01-18 05:00:00+00:00,ETR,-30.0,107.29,sell
2023-01-18 05:00:00+00:00,POOL,-9.0,358.52,sell
2023-01-18 05:00:00+00:00,CAH,-43.0,76.21,sell
2023-01-18 05:00:00+00:00,QCOM,-27.0,121.62,sell
2023-01-18 05:00:00+00:00,MHK,-29.0,112.2,sell
2023-01-18 05:00:00+00:00,CFG,-81.0,40.6,sell
2023-01-18 05:00:00+00:00,ULTA,-6.0,495.68,sell
2023-01-18 05:00:00+00:00,INCY,-41.0,81.09,sell
2023-01-18 05:00:00+00:00,JBHT,-18.0,177.0,sell
2023-01-18 05:00:00+00:00,SMCI,-38.0,78.87,close
2023-01-18 05:00:00+00:00,UAL,-62.0,48.86,close
2023-01-18 05:00:00+00:00,KMX,-49.0,63.41,close
2023-01-18 05:00:00+00:00,CCL,-299.0,10.43,close
2023-01-18 05:00:00+00:00,KHC,-78.0,39.66,close
2023-01-18 05:00:00+00:00,TSLA,-24.0,128.78,close
2023-01-18 05:00:00+00:00,HAL,-77.0,40.6,close
2023-01-18 05:00:00+00:00,CRWD,-31.0,101.0,close
